camis,dba,boro,cuisine_description,building,street,zipcode,grade
50142514,IL PRIMO CAFFE,Queens,Coffee/Tea,63-55,ALDERTON STREET,11374.0,A
50136527,CUBAN SHACK,Brooklyn,Spanish,75,HOYT STREET,11201.0,A
50108900,SHEARMAN CAFE,Manhattan,American,599,LEXINGTON AVENUE,10022.0,A
40661017,HAIRO'S,Queens,Latin American,81-09,ROOSEVELT AVENUE,11372.0,B
40392388,TAL BAGEL,Manhattan,Bagels/Pretzels,333,EAST   86 STREET,10028.0,A
40388818,YAMA,Manhattan,Japanese,122,EAST   17 STREET,10003.0,A
50107869,MATCHAFUL,Manhattan,Coffee/Tea,217,MULBERRY STREET,10012.0,C
50080459,EASTVILLE,Brooklyn,American,487,ATLANTIC AVENUE,11217.0,A
41362530,H&H BAGELS,Queens,Sandwiches,0,JFK INTL. AIRPORT,11430.0,A
41623363,DUNKIN,Manhattan,Donuts,1093,2 AVENUE,10022.0,A
50111806,AUNTIE ANNE'S PRETZELS,Queens,Bagels/Pretzels,90-15,QUEENS BOULEVARD,11373.0,A
40546650,GIAN PIERO BAKERY,Queens,Bakery Products/Desserts,44-17,30 AVENUE,11103.0,A
50127279,LA VILLA RESTAURANT,Bronx,Mexican,240,WEST  231 STREET,10463.0,A
50145121,YUYUELONGMEN,Queens,Chinese,41-28,MAIN STREET,11355.0,C
50144962,T TIME BOBA,Manhattan,Coffee/Tea,100,EAST   96 STREET,10128.0,B
50145243,OHAYO,Brooklyn,Bakery Products/Desserts,5819,8 AVENUE,11220.0,A
50127096,DON ALEJO COFFEE,Manhattan,Coffee/Tea,228,EAST  116 STREET,10029.0,A
50052840,US FRIED CHICKEN & PIZZA,Brooklyn,Chicken,129,DWIGHT STREET,11231.0,B
40402369,COLONY CLUB,Manhattan,American,564,PARK AVENUE,10065.0,A
50121576,DAVE & BUSTER'S,Brooklyn,American,625,ATLANTIC AVENUE,11217.0,A
50006211,DISTRICT TAP HOUSE,Manhattan,American,246,WEST   38 STREET,10018.0,A
50107649,BISTRO THAI,Staten Island,Thai,2655,RICHMOND AVENUE,10314.0,A
41457424,JIMBO'S HAMBURGER PALACE,Bronx,Hamburgers,4137,WHITE PLAINS ROAD,10466.0,B
50115909,APRES,Manhattan,American,1,VANDERBILT AVENUE,10017.0,A
50065037,DAVID'S BAKERY,Brooklyn,Bakery Products/Desserts,4918,AVENUE H,11234.0,A
50106710,DRAGON VILLAGE,Bronx,Chinese,1795,WESTCHESTER AVENUE,10472.0,A
50150097,BIG JOHN'S PIZZA & RESTAURANT,Queens,Pizza,219-11,JAMAICA AVENUE,11428.0,C
41531196,CALL IT A WRAP,Staten Island,American,1198,FOREST AVENUE,10310.0,A
41461512,WENDY'S,Queens,Hamburgers,0,JFK INTL AIRPORT,11430.0,A
50130955,JUNCTION DELI / TULCINGO,Queens,Bakery Products/Desserts,40-13,JUNCTION BOULEVARD,11368.0,A
50145277,LA ESQUINA DEL SABOR,Queens,Latin American,99-01,NORTHERN BOULEVARD,11368.0,C
50118453,EL REY,Queens,Mexican,25-21,ASTORIA BOULEVARD,11102.0,A
40573138,TAVERN ON JANE,Manhattan,American,31,8 AVENUE,10014.0,A
41388854,PUERTO PLATA RESTAURANT,Brooklyn,Latin American,3123,FULTON STREET,11208.0,A
50088988,CITY ONE,Manhattan,Chinese,2726,FREDERICK DOUGLASS BOULEVARD,,A
50092699,CAFE BORABORA,Queens,Bagels/Pretzels,97-08,QUEENS BOULEVARD,11374.0,A
50010285,FOOLS GOLD,Manhattan,American,145,EAST HOUSTON STREET,10002.0,A
41670427,IRISH HAVEN,Brooklyn,Irish,5721,4 AVENUE,11220.0,A
50099767,MERGUEZ & FRITES,Queens,Moroccan,40-06,25 AVENUE,11103.0,B
41269387,DUNKIN' DONUTS,Manhattan,Donuts,265,WEST   37 STREET,10018.0,A
50179312,NANITA'S TO GO,Queens,Other,38-04,61 STREET,11377.0,A
50143737,EL RINCONCITO,Manhattan,Latin American,75,AVENUE C,10009.0,A
50109395,KENNEDY FRIED CHICKEN,Brooklyn,Chicken,938,UTICA AVENUE,11203.0,A
50095339,QDOBA MEXICAN GRILL,Queens,Mexican,61-40,188 STREET,11365.0,A
50039007,COURT STREET GROCERS,Manhattan,Sandwiches,540,LAGUARDIA PLACE,10012.0,A
50034742,BLUJEEN,Manhattan,American,2143,FREDERICK DOUGLASS BOULEVARD,,C
50048150,INTERCONTINENTAL BARCLAY - BAR,Manhattan,American,111,EAST   48 STREET,10017.0,A
50111605,LOBO BROOKLYN,Brooklyn,Mexican,218,COURT STREET,11201.0,A
50146229,CLEARVIEW PARK GOLF COURSE,Queens,American,202-12,WILLETS POINT BOULEVARD,11360.0,A
50128229,YOPCITY,Bronx,African,2324,ARTHUR AVENUE,10458.0,A
50172455,MOMO SUSHI & RAMEN,Brooklyn,Japanese,644,FLATBUSH AVENUE,11225.0,A
50128207,OCKY FRIED CHICKEN & PIZZA,Bronx,Chicken,155,EAST  149 STREET,10451.0,C
40526406,CLUB MACANUDO (CIGAR BAR),Manhattan,American,26,EAST   63 STREET,10065.0,A
50134855,ZUI DE YI,Brooklyn,Chinese,714,59 STREET,11220.0,A
50139657,CAIRO FETEER,Queens,Egyptian,25-09,STEINWAY STREET,11103.0,A
50134446,PEKING EXPRESS,Queens,Chinese,134-12,ROCKAWAY BOULEVARD,11420.0,A
50075900,A & A BAKE AND DOUBLE SHOP,Brooklyn,Caribbean,1337,FULTON STREET,11216.0,B
41348061,"DUNKIN',' BASKIN ROBBINS",Manhattan,Donuts,1225,1 AVENUE,10065.0,A
50153803,HALAL MUNCHIES,Queens,Mediterranean,78-45,SPRINGFIELD BOULEVARD,11364.0,A
50162306,JOHNNY'S,Brooklyn,Peruvian,642,LORIMER STREET,11211.0,A
50090750,NB WING WONG,Manhattan,Chinese,42,BOWERY,10013.0,B
50003435,THE UNCOMMONS,Manhattan,Coffee/Tea,230,THOMPSON STREET,10012.0,A
50002097,PANINO RUSTICO,Brooklyn,Italian,8222,17 AVENUE,11214.0,C
50139432,FER,Queens,Chinese,41-10,29 STREET,11101.0,A
50120726,ST. GEORGE COFFEE,Manhattan,Bakery Products/Desserts,74,7 AVENUE SOUTH,10014.0,A
41462617,MIKE'S UNICORN DINER,Staten Island,American,2944,VICTORY BOULEVARD,10314.0,A
50145859,THAI PEPPERCORN,Manhattan,Thai,1406,MADISON AVENUE,10029.0,B
41479962,CHOCOLAT,Manhattan,American,2217,FREDERICK DOUGLASS BOULEVARD,,A
50121573,Tiger King,Bronx,Coffee/Tea,200,BAYCHESTER AVENUE,10475.0,A
41140612,STARBUCKS,Manhattan,Coffee/Tea,870,7 AVENUE,10019.0,A
50139761,EASTSIDE STORY,Manhattan,Middle Eastern,265,EAST   10 STREET,10009.0,A
50044864,NAKAMURA,Manhattan,Japanese,172,DELANCEY STREET,10002.0,A
41556827,MOJO LATIN,Queens,American,70-20,AUSTIN STREET,11375.0,A
40364296,HAPPY GARDEN,Bronx,Chinese,277,EAST KINGSBRIDGE ROAD,10458.0,A
41594766,JOJU / JOJU BOWL,Queens,Southeast Asian,83-25,BROADWAY,11373.0,A
41435077,DUNKIN,Queens,Donuts,81-55,LEFFERTS BOULEVARD,11415.0,A
50160092,PASTASOLE,Manhattan,Italian,192,1 AVENUE,10009.0,A
50157977,MIOLIN BAKERY,Brooklyn,Bakery Products/Desserts,422,7 AVENUE,11215.0,A
50077541,MODERN ORGANIZATION HUMAN DEVELOPMENT CENTER,Brooklyn,Caribbean,10315,FARRAGUT ROAD,11236.0,A
50034377,MAGGIE MAE'S,Queens,American,41-15,QUEENS BOULEVARD,11104.0,B
50044479,SPICE & GRILL,Brooklyn,Indian,441,MYRTLE AVENUE,11205.0,B
50140282,NATHAN'S FAMOUS,Bronx,American,200,BAYCHESTER AVENUE,10475.0,A
41634834,KARAOKE CHRISTMAS,Queens,American,47-29,BELL BOULEVARD,11361.0,A
50075544,ZIG ZAG,Brooklyn,American,382,MARCUS GARVEY BOULEVARD,11221.0,A
50079627,SEAMORE'S,Manhattan,Seafood,250,VESEY STREET,10281.0,A
50113220,HARLEM SHAKE,Brooklyn,Hamburgers,119,5 AVENUE,11217.0,A
50041687,CHINA KING,Queens,Chinese,175-45,HILLSIDE AVENUE,11432.0,A
50102474,ELK CAFE,Brooklyn,Coffee/Tea,154,PROSPECT PARK SOUTHWEST,11218.0,A
50129342,CRISPY BURGER,Queens,Chicken,36-17,MAIN STREET,11354.0,A
50088433,YANKEE TWIN EATERY,Bronx,Sandwiches,844,RIVER AVENUE,10451.0,A
41537124,BONCHON,Queens,Korean,45-37,BELL BOULEVARD,11361.0,A
41616574,THE TIPPLER,Manhattan,American,75,9 AVENUE,10011.0,B
41514447,EL PAISANO PIZZERIA,Bronx,Pizza,3444,EAST TREMONT AVENUE,10465.0,A
50131349,BAD ROMAN,Manhattan,Italian,10,COLUMBUS CIRCLE,10019.0,A
50098031,TWENTY-SEVENS,Manhattan,American,870,7TH AVE @56TH STREET,10019.0,C
50096299,SVETA,Manhattan,Russian,64,CARMINE STREET,10014.0,A
50068651,FACTORY TAMAL,Manhattan,Mexican,34,LUDLOW STREET,10002.0,A
50056175,SUNDAY IN BROOKLYN,Brooklyn,American,348,WYTHE AVENUE,11249.0,A
50005085,EL NUEVO TINA RESTAURANT,Manhattan,Spanish,511,WEST  125 STREET,10027.0,A
50033292,COSTAS,Manhattan,Latin American,30,WEST   35 STREET,10001.0,A
41041733,BAGELSMITH,Brooklyn,Bagels/Pretzels,189,BEDFORD AVENUE,11211.0,A
40574150,WHITESTONE BAGEL FACTORY,Queens,Sandwiches,24-17,149 STREET,11357.0,A
50110384,ER HOU ROAST CHICKEN TAKEOUT,Queens,Chinese,35-38,UNION STREET,11354.0,A
50113339,THE MOST HIGH,Brooklyn,Coffee/Tea,820A,WASHINGTON AVE,11238.0,B
50049918,CAPY,Queens,Bakery Products/Desserts,92-11,JAMAICA AVENUE,11421.0,A
50122503,LEO'S,Queens,Latin American,104-19,JAMAICA AVENUE,11418.0,A
50121988,LN 1380 HK INC,Queens,Chinese,251-03,NORTHERN BOULEVARD,11362.0,B
50144374,GREEN SPOT CAFE,Queens,Coffee/Tea,61-05,MADISON STREET,11385.0,A
40648876,WESTSIDE TAVERN,Manhattan,American,360,WEST   23 STREET,10011.0,A
50126960,AL SHAM RESTAURANT,Brooklyn,Middle Eastern,7701,5 AVENUE,11209.0,A
40589507,CONNECTICUT MUFFIN,Brooklyn,Coffee/Tea,206,PROSPECT PARK WEST,11215.0,A
50157471,POSH POP BAKE SHOP,Manhattan,Bakery Products/Desserts,315,WEST   39 STREET,10018.0,A
50039403,CHANGLE CUISINE,Queens,Chinese,41-42A,MAIN STREET,11355.0,A
50104521,DAIGO SUSHI ROLL BAR,Brooklyn,Japanese,527,CARROLL STREET,11215.0,A
50086579,WINNIE'S BAR,Manhattan,Bottled Beverages,58,EAST BROADWAY,10002.0,A
50115715,BOON CHU THAI STREET FOOD,Queens,Thai,136-20,ROOSEVELT AVENUE,11354.0,A
41446057,ROBERT,Manhattan,New American,2,COLUMBUS CIRCLE,10019.0,A
50139556,FOOD KING,Manhattan,Chinese,694,10 AVENUE,10019.0,B
50068343,MILK BAR,Brooklyn,American,204,6 AVENUE,11217.0,A
50099412,JUA,Manhattan,Korean,36,EAST   22 STREET,10010.0,A
40372112,GREEN HOUSE CAFE,Brooklyn,American,7717,THIRD AVENUE,11209.0,A
41690004,SOPHIE'S CUBAN CUISINE,Brooklyn,Latin American,27,SMITH STREET,11201.0,A
40366471,ROLL-N-ROASTER,Brooklyn,American,2901,EMMONS AVENUE,11235.0,A
50166912,EKO,Brooklyn,African,11010,FLATLANDS AVENUE,11207.0,A
50058349,OMAR'S MEDITERRANEAN CUISINE,Manhattan,Mediterranean,20,EAST   39 STREET,10016.0,A
41017592,KIMGANAE RESTAURANT,Queens,Korean,39-12,UNION STREET,11354.0,A
50036335,JUICE GENERATION,Manhattan,"Juice, Smoothies, Fruit Salads",101,MAIDEN LANE,10038.0,A
50097947,AARON'S CHINESE AND THAI,Manhattan,Chinese,338,9 AVENUE,10001.0,C
50088636,SANTA ANA RESTAURANT,Brooklyn,Mexican,187,IRVING AVENUE,11237.0,A
50043922,JOE & JOHN'S PIZZERIA,Queens,Pizza,59-10,MYRTLE AVENUE,11385.0,A
50079722,THE BRONX BREWERY-TAP ROOM,Bronx,American,856,EAST  136 STREET,10454.0,A
41034123,POLLOS MARIO,Queens,Latin American,86-13,ROOSEVELT AVENUE,11372.0,A
41637468,BUDDHA BEER BAR,Manhattan,American,4476,BROADWAY,10040.0,A
41705626,ZUCKER'S BAGELS & SMOKED FISH,Manhattan,Bagels/Pretzels,370,LEXINGTON AVENUE,10017.0,C
50046906,NETS PRACTICE FACILITY,Brooklyn,American,168,39 STREET,11232.0,A
50059310,1 HOTEL EMPLOYEE DINING KITCHEN #36,Brooklyn,American,60,FURMAN STREET,11201.0,A
50036949,PITA PALACE,Brooklyn,Middle Eastern,413,GRAHAM AVENUE,11211.0,A
50043755,TWO HANDS TRIBECA,Manhattan,Australian,251,CHURCH STREET,10013.0,A
